z TM e p Hepp Hep He HeHp H Hm H2 H2p H3p D Dp HD HDp H2Dp H2para H2orto    HD_0    HD_1    HD_2    HD_3    HD_4    HD_5    HD_6    HD_7    HD_8    HD_v1j0    HD_v1j1    HD_9    HD_v1j2    HD_v1j3    HD_v1j4    HD_10    HD_ALL
2869.371 7824.6292 1.0812929 1 1.7230448e-17 0.99515286 0.0048471413 4.5276755e-20 1.6639415e-09 3.6299883e-27 9.3801148e-42 4.047405e-27 2.2225894e-50 1.6639411e-09 1 2.059173e-39 4.0474046e-27 1.2144753e-58 0.24999994 0.75000006    0.011119951    0.032816981    0.052935166    0.07058139    0.085078025    0.096006121    0.10321712    0.10681435    0.10710922    0.0057023214    0.016840491    0.10456381    0.027202938    0.036347902    0.043936202    0.099728011    1
2840.4369 7745.7548 1.0811335 1 8.0374976e-18 0.99321394 0.0067860621 6.3133758e-20 2.0121612e-09 4.37905e-27 1.614403e-41 4.8819657e-27 4.1054851e-50 2.0121607e-09 1 3.5802216e-39 4.8819651e-27 2.7100267e-58 0.24999993 0.75000007    0.011170679    0.032961181    0.053150064    0.070832737    0.085324925    0.096206498    0.10333292    0.10681574    0.10697719    0.0056895094    0.016799968    0.10429116    0.027128835    0.036231668    0.043768189    0.099318743    1
2812.2261 7668.8522 1.0809201 1 3.7615789e-18 0.99063166 0.0093683352 8.68361e-20 2.4311012e-09 5.2784652e-27 2.7723116e-41 5.8859098e-27 7.4567638e-50 2.4311005e-09 1 6.2087396e-39 5.885909e-27 5.9412581e-58 0.24999992 0.75000008    0.011221287    0.033105004    0.053364298    0.071083116    0.085570591    0.096405505    0.10344746    0.10681629    0.10684518    0.0056767487    0.016759622    0.10401982    0.027055108    0.036116128    0.04360135    0.098912502    1
2784.0154 7591.9497 1.0806353 1 1.732156e-18 0.98721077 0.012789233 1.1813588e-19 2.9488163e-09 6.3877446e-27 4.8158421e-41 7.1268779e-27 1.3544785e-49 2.9488154e-09 1 1.0890772e-38 7.1268767e-27 1.3077984e-57 0.2499999 0.7500001    0.011273066    0.033252124    0.053583336    0.071338913    0.085821282    0.096608199    0.10356362    0.10681601    0.10670981    0.0056637139    0.016718426    0.10374288    0.02697988    0.03599834    0.04343144    0.098498961    1
2755.8046 7515.0471 1.0802677 1 7.8435752e-19 0.98283447 0.017165526 1.5805533e-19 3.5912599e-09 7.7615309e-27 8.4654865e-41 8.6678005e-27 2.4648891e-49 3.5912585e-09 1 1.932968e-38 8.6677987e-27 2.8958892e-57 0.24999988 0.75000012    0.011326057    0.033402652    0.053807339    0.071600301    0.086077148    0.09681468    0.10368143    0.10681483    0.10657097    0.0056503964    0.016676354    0.10346018    0.026903105    0.035878241    0.043258378    0.098077927    1
2728.3172 7440.1164 1.0798233 1 3.5646936e-19 0.97760311 0.022396895 2.0564126e-19 4.3690848e-09 9.4215601e-27 1.4840797e-40 1.0535331e-26 4.4329599e-49 4.3690827e-09 1 3.4203467e-38 1.0535328e-26 6.3309654e-57 0.24999986 0.75000014    0.011378896    0.033552712    0.054030533    0.071860539    0.086331581    0.097019606    0.10379784    0.10681278    0.10643222    0.0056371399    0.01663449    0.10317902    0.026826766    0.035758935    0.043086639    0.097660291    1
2700.8298 7365.1857 1.0792936 0.99999999 1.5928587e-19 0.97143919 0.028560813 2.615718e-19 5.3371091e-09 1.14836e-26 2.6330938e-40 1.2862768e-26 8.0140167e-49 5.3371061e-09 0.99999999 6.124607e-38 1.2862764e-26 1.3970436e-56 0.24999984 0.75000016    0.011432967    0.033706232    0.054258761    0.072126432    0.08659123    0.097228321    0.10391587    0.10680978    0.10628994    0.0056235978    0.016591742    0.10289205    0.02674887    0.035637306    0.042911743    0.097235163    1
2674.0657 7292.2268 1.0787002 0.99999999 7.149772e-20 0.96461576 0.035384241 3.2336126e-19 6.5116802e-09 1.3981108e-26 4.6567991e-40 1.5691824e-26 1.4357454e-48 6.5116759e-09 0.99999999 1.0928227e-37 1.5691819e-26 3.0515284e-56 0.24999981 0.75000019    0.01148684    0.033859151    0.054485979    0.072390936    0.086849206    0.097435279    0.10403237    0.10680589    0.10614787    0.0056101291    0.016549242    0.10260688    0.026671482    0.035516583    0.042738334    0.096813835    1
2647.3017 7219.268 1.0780372 0.99999999 3.1556188e-20 0.95708511 0.042914895 3.9145434e-19 7.9776162e-09 1.7092865e-26 8.3363299e-40 1.9230288e-26 2.5924405e-48 7.9776101e-09 0.99999999 1.973513e-37 1.9230281e-26 6.74582e-56 0.24999977 0.75000023    0.011541962    0.034015578    0.054718292    0.07266115    0.087112426    0.09764602    0.10415045    0.10680098    0.10600219    0.0055963724    0.016505852    0.10231587    0.026592527    0.035393532    0.04256177    0.096385029    1
2620.5376 7146.3091 1.0773128 0.99999999 1.3689239e-20 0.94895969 0.051040307 4.6486469e-19 9.8153612e-09 2.0987629e-26 1.5111398e-39 2.3677676e-26 4.7237786e-48 9.8153523e-09 0.99999999 3.6084481e-37 2.3677665e-26 1.5113435e-55 0.24999973 0.75000027    0.011598376    0.034175633    0.05495587    0.072937258    0.087381048    0.097860642    0.10427012    0.10679501    0.10585279    0.0055823188    0.016461542    0.10201883    0.026511961    0.035268086    0.042381967    0.095948552    1
2594.4969 7075.3221 1.0765557 0.99999999 5.9717891e-21 0.94058475 0.059415255 5.4052586e-19 1.2059903e-08 2.5737517e-26 2.7292918e-39 2.912567e-26 8.5523749e-48 1.205989e-08 0.99999999 6.5714367e-37 2.9125654e-26 3.359888e-55 0.24999968 0.75000032    0.011654549    0.034334963    0.055192247    0.073211739    0.087647749    0.098073286    0.10438812    0.1067881    0.10570371    0.0055683511    0.016417521    0.10172387    0.026431977    0.035143668    0.042203832    0.095516317    1
2568.4562 7004.3351 1.0757523 0.99999999 2.5607817e-21 0.93183285 0.068167153 6.1965751e-19 1.4881729e-08 3.1700986e-26 4.9922259e-39 3.5997956e-26 1.5649397e-47 1.488171e-08 0.99999999 1.2118268e-36 3.5997933e-26 7.5818235e-55 0.24999962 0.75000038    0.011712032    0.034497966    0.055433945    0.073492163    0.087919873    0.098289799    0.10450767    0.10678006    0.10555084    0.0055540843    0.016372577    0.10142286    0.026350375    0.035016853    0.042022465    0.095076439    1
2542.4155 6933.3481 1.0749067 0.99999998 1.0789077e-21 0.92277158 0.077228421 7.0173368e-19 1.844573e-08 3.9223532e-26 9.2515982e-39 4.4710919e-26 2.8966273e-47 1.8445702e-08 0.99999998 2.2637895e-36 4.4710885e-26 1.7383547e-54 0.24999954 0.75000046    0.011770869    0.034664767    0.055681142    0.073778718    0.088197582    0.098510279    0.10462879    0.10677081    0.10539404    0.0055395093    0.01632668    0.10111563    0.026267106    0.034887574    0.04183778    0.094628722    1
2517.0981 6864.333 1.0740449 0.99999998 4.5759202e-22 0.91371245 0.086287548 7.8402215e-19 2.2827626e-08 4.8462013e-26 1.7073269e-38 5.5468656e-26 5.3328578e-47 2.2827585e-08 0.99999998 4.2096695e-36 5.5468606e-26 3.9582446e-54 0.24999945 0.75000055    0.011829416    0.034830701    0.055926921    0.074063381    0.088473091    0.098728537    0.10474808    0.1067606    0.1052377    0.0055250342    0.016281117    0.10081077    0.026184505    0.034759456    0.041654961    0.094185732    1
2491.7808 6795.3178 1.0731431 0.99999997 1.9068582e-22 0.90443741 0.095562593 8.6859995e-19 2.8377304e-08 6.0150766e-26 3.1925268e-38 6.9156518e-26 9.9390825e-47 2.8377242e-08 0.99999997 7.9306797e-36 6.9156443e-26 9.1648855e-54 0.24999934 0.75000066    0.011889334    0.035000475    0.05617825    0.074354217    0.0887542    0.098950741    0.10486887    0.10674912    0.10507737    0.0055102492    0.016234597    0.10049967    0.026100234    0.034628876    0.041468839    0.093734947    1
2466.4634 6726.3027 1.0721989 0.99999996 7.8032528e-23 0.89496235 0.10503765 9.5543868e-19 3.5439558e-08 7.5011825e-26 6.0513494e-38 8.6664207e-26 1.8763848e-46 3.5439466e-08 0.99999996 1.5142627e-35 8.6664094e-26 2.1594467e-53 0.24999921 0.75000079    0.011950671    0.035174222    0.056435315    0.074651423    0.089041074    0.099176991    0.10499121    0.1067363    0.10491292    0.0054951445    0.016187092    0.10018214    0.026014243    0.034495764    0.041279326    0.093276169    1
2441.8694 6659.2594 1.0712376 0.99999996 3.2176663e-23 0.88557033 0.11442967 1.0420474e-18 4.4180395e-08 9.3390535e-26 1.1414665e-37 1.0845302e-25 3.5237829e-46 4.4180257e-08 0.99999996 2.8762231e-35 1.0845285e-25 5.0523831e-53 0.24999905 0.75000095    0.01201166    0.035346938    0.056690713    0.074946435    0.089325437    0.09940075    0.10511152    0.10672249    0.10474907    0.0054801558    0.016139972    0.099867332    0.025929013    0.034363963    0.041091896    0.092822648    1
2417.2754 6592.2161 1.070228 0.99999994 1.3028706e-23 0.87598793 0.12401207 1.1310535e-18 5.533307e-08 1.1682443e-25 2.1827233e-37 1.3641951e-25 6.7056825e-46 5.5332863e-08 0.99999994 5.5372437e-35 1.3641925e-25 1.2033865e-52 0.24999885 0.75000115    0.012074083    0.035523665    0.056951892    0.07524785    0.089615569    0.099628523    0.10523332    0.10670727    0.10458104    0.0054648464    0.016091864    0.099546086    0.025842064    0.034229637    0.040901097    0.092361196    1
2392.6814 6525.1729 1.0691646 0.99999993 5.1773387e-24 0.86620231 0.13379769 1.2227154e-18 6.9633199e-08 1.4685421e-25 4.2329667e-37 1.7251056e-25 1.2937432e-45 6.9632884e-08 0.99999993 1.0809277e-34 1.7251017e-25 2.9198213e-52 0.24999861 0.75000139    0.012137988    0.03570454    0.057219047    0.075555874    0.08991164    0.099860411    0.10535659    0.10669056    0.10440869    0.0054492062    0.016042738    0.099218207    0.025753344    0.034092715    0.040706841    0.091891611    1
2368.8108 6460.1014 1.0680751 0.99999991 2.0751618e-24 0.85649225 0.14350775 1.3145322e-18 8.7449811e-08 1.8425078e-25 8.1631498e-37 2.1778635e-25 2.4818797e-45 8.7449335e-08 0.99999991 2.097506e-34 2.1778575e-25 7.029904e-52 0.24999832 0.75000168    0.012201482    0.035884198    0.05748425    0.075861361    0.090204853    0.10008951    0.10547767    0.10667283    0.10423711    0.0054337    0.015994054    0.09889344    0.02566549    0.033957269    0.040514907    0.091427864    1
2344.9401 6395.03 1.066922 0.99999989 8.162326e-25 0.84655105 0.15344895 1.4095183e-18 1.1035204e-07 2.3230424e-25 1.5965903e-36 2.76412e-25 4.8278506e-45 1.1035131e-07 0.99999989 4.1271525e-34 2.7641109e-25 1.7244773e-51 0.24999796 0.75000204    0.012266472    0.036068038    0.057755466    0.076173479    0.090503998    0.10032269    0.10560016    0.10665355    0.10406117    0.0054178626    0.015944351    0.098562048    0.025575869    0.033819239    0.040319544    0.090956065    1
2321.0695 6329.9586 1.0656985 0.99999986 3.148669e-25 0.83635309 0.16364691 1.508084e-18 1.3994099e-07 2.943713e-25 3.1684258e-36 3.5275071e-25 9.5274139e-45 1.3993987e-07 0.99999986 8.2380745e-34 3.527493e-25 4.3127352e-51 0.24999751 0.75000249    0.01233301    0.036256202    0.058032896    0.07649244    0.090809249    0.10056004    0.10572408    0.10663262    0.10388069    0.0054016837    0.015893599    0.098223834    0.025484428    0.033678555    0.040120665    0.090476014    1
