F    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL   ALL
2.5118864    0    0    0    0    0    0    0    0    7.1113715e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7.1113715e-13    0    0    0    0    0   6.7429936e-13
2.5409727    0    0    0    0    0    0    0    0    7.265747e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7.265747e-13    0    0    0    0    0   6.9271435e-13
2.5703958    0    0    0    0    0    0    0    0    7.6767284e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7.6767284e-13    0    0    0    0    0   7.362558e-13
2.6001596    0    0    0    0    0    0    0    0    8.3224182e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    8.3224182e-13    0    0    0    0    0   8.0282565e-13
2.630268    0    0    0    0    0    0    0    0    9.2113611e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    9.2113611e-13    0    0    0    0    0   8.9335194e-13
2.6607251    0    0    0    0    0    0    0    0    1.0369353e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.0369353e-12    0    0    0    0    0   1.010473e-12
2.6915348    0    0    0    0    0    0    0    0    1.1835854e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.1835854e-12    0    0    0    0    0   1.1581815e-12
2.7227013    0    0    0    0    0    0    0    0    1.3663123e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.3663123e-12    0    0    0    0    0   1.3417408e-12
2.7542287    0    0    0    0    0    0    0    0    1.5916337e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.5916337e-12    0    0    0    0    0   1.5676984e-12
2.7861212    0    0    0    0    0    0    0    0    1.8674037e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.8674037e-12    0    0    0    0    0   1.8439314e-12
2.8183829    0    0    0    0    0    0    0    0    2.2028502e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.2028502e-12    0    0    0    0    0   2.1796862e-12
2.8510183    0    0    0    0    0    0    0    0    2.6085721e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.6085721e-12    0    0    0    0    0   2.5855757e-12
2.8840315    0    0    0    0    0    0    0    0    3.0964642e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3.0964642e-12    0    0    0    0    0   3.0735054e-12
2.917427    0    0    0    0    0    0    0    0    3.6795375e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3.6795375e-12    0    0    0    0    0   3.6564939e-12
2.9512092    0    0    0    0    0    0    0    0    4.3716088e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4.3716088e-12    0    0    0    0    0   4.3483631e-12
2.9853826    0    0    0    0    0    0    0    0    5.1868444e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5.1868444e-12    0    0    0    0    0   5.1632822e-12
3.0199517    0    0    0    0    0    0    0    0    6.1391629e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    6.1391629e-12    0    0    0    0    0   6.1151709e-12
3.0549211    0    0    0    0    0    0    0    0    7.2415323e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7.2415323e-12    0    0    0    0    0   7.2169963e-12
3.0902954    0    0    0    0    0    0    0    0    8.5052296e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    8.5052296e-12    0    0    0    0    0   8.4800329e-12
3.1260794    0    0    0    0    0    0    0    0    9.9391696e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    9.9391696e-12    0    0    0    0    0   9.9131914e-12
3.1622777    0    0    0    0    0    0    0    0    1.1549427e-11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.1549427e-11    0    0    0    0    0   1.1522541e-11
3.1988951    0    0    0    0    0    0    0    0    1.3339078e-11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.3339078e-11    0    0    0    0    0   1.331115e-11
3.2359366    0    0    0    0    0    0    0    0    1.5308458e-11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.5308458e-11    0    0    0    0    0   1.5279346e-11
3.2734069    0    0    0    0    0    0    0    0    1.7455858e-11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.7455858e-11    0    0    0    0    0   1.7425407e-11
3.3113112    0    0    0    0    0    0    0    0    1.9778617e-11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.9778617e-11    0    0    0    0    0   1.974666e-11
3.3496544    0    0    0    0    0    0    0    0    2.2274492e-11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.2274492e-11    0    0    0    0    0   2.2240848e-11
3.3884416    0    0    0    0    0    0    0    0    2.4943151e-11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.4943151e-11    0    0    0    0    0   2.4907621e-11
3.4276779    0    0    0    0    0    0    0    0    2.7787615e-11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.7787615e-11    0    0    0    0    0   2.7749979e-11
3.4673685    0    0    0    0    0    0    0    0    3.0815536e-11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3.0815536e-11    0    0    0    0    0   3.0775552e-11
3.5075187    0    0    0    0    0    0    0    0    3.4040243e-11    1.3010136e-20    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3.4040243e-11    0    0    0    0    0   3.3997644e-11
3.5481339    0    0    0    0    0    0    0    0    3.7481551e-11    2.7620165e-20    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3.7481551e-11    0    0    0    0    0   3.7436038e-11
3.5892193    0    0    0    0    0    0    0    0    4.1166373e-11    5.5997832e-20    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4.1166373e-11    0    0    0    0    0   4.1117616e-11
3.6307805    0    0    0    0    0    0    0    0    4.5129239e-11    1.0858156e-19    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4.5129239e-11    0    0    0    0    0   4.5076867e-11
3.672823    0    0    0    0    0    0    0    0    4.9412789e-11    2.0245188e-19    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4.9412789e-11    0    0    0    0    0   4.9356388e-11
3.7153523    0    0    0    0    0    0    0    0    5.4068359e-11    3.6582184e-19    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5.4068359e-11    0    0    0    0    0   5.4007464e-11
3.758374    0    0    0    0    0    0    0    0    5.9156735e-11    6.4613808e-19    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5.9156735e-11    0    0    0    0    0   5.9090825e-11
3.801894    0    0    0    0    0    0    0    0    6.4749152e-11    1.1243499e-18    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    6.4749153e-11    0    0    0    0    0   6.4677641e-11
3.8459178    0    0    0    0    0    0    0    0    7.0928619e-11    1.9392507e-18    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7.0928621e-11    0    0    0    0    0   7.0850847e-11
3.8904514    0    0    0    0    0    0    0    0    7.7791621e-11    3.327702e-18    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7.7791624e-11    0    0    0    0    0   7.7706843e-11
3.9355008    0    0    0    0    0    0    0    0    8.5450278e-11    5.6899032e-18    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    8.5450284e-11    0    0    0    0    0   8.5357655e-11
3.9810717    0    0    0    0    0    0    0    0    9.4035046e-11    9.7015398e-18    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    9.4035056e-11    0    4.8883223e-20    0    0    0   9.3933629e-11
4.0271703    0    0    0    0    0    0    0    0    1.0369804e-10    1.6573604e-17    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.0369806e-10    0    0    0    0    0   1.0220041e-10
4.0738028    0    0    0    0    0    0    0    0    1.1461712e-10    2.9046272e-17    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.1461715e-10    0    0    0    0    0   1.134186e-10
4.1209752    0    0    0    0    0    0    0    0    1.2700088e-10    5.6298399e-17    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.2700094e-10    0    0    0    0    0   1.2602102e-10
4.1686938    0    0    0    0    0    0    0    0    1.4109469e-10    1.3775473e-16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.4109483e-10    0    0    0    0    0   1.4027567e-10
4.216965    0    0    0    0    0    0    0    0    1.5718815e-10    4.4587508e-16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.571886e-10    0    0    0    0    0   1.5648748e-10
4.2657952    0    0    0    0    0    0    0    0    1.7562406e-10    1.6701611e-15    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.7562574e-10    0    0    0    0    0   1.7501041e-10
4.3151908    0    0    0    0    0    0    0    0    1.968095e-10    6.2397566e-15    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.9681574e-10    0    0    0    0    0   1.9626125e-10
4.3651583    0    0    0    0    0    0    0    0    2.2122928e-10    2.1568966e-14    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.2125085e-10    0    0    0    0    0   2.2073737e-10
4.4157045    0    0    0    0    0    0    0    0    2.4946253e-10    6.6878865e-14    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.4952941e-10    0    0    0    0    0   2.4904078e-10
4.4668359    0    0    0    0    0    0    0    0    2.8220304e-10    1.8289371e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.8238593e-10    0    0    0    0    0   2.8190856e-10
4.5185594    0    0    0    0    0    0    0    0    3.2028436e-10    4.3465987e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3.2071902e-10    0    0    0    0    0   3.202411e-10
4.5708819    0    0    0    0    0    0    0    0    3.6471083e-10    8.8699035e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3.6559782e-10    0    0    0    0    0   3.6510878e-10
4.6238102    0    0    0    0    0    0    0    0    4.1669604e-10    1.5551836e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4.1825122e-10    0    0    0    0    0   4.1774122e-10
4.6773514    0    0    0    0    0    0    0    0    4.7771058e-10    2.3973586e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4.8010794e-10    0    0    0    0    0   4.7956754e-10
4.7315126    0    0    0    0    0    0    0    0    5.4954162e-10    3.3695514e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5.5291117e-10    0    0    0    0    0   5.5233103e-10
4.7863009    0    0    0    0    0    0    0    0    6.3436724e-10    4.4239934e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    6.3879123e-10    0    0    0    0    0   6.3816188e-10
4.8417237    0    0    0    0    0    0    0    0    7.3484971e-10    5.4474226e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7.4029714e-10    0    0    0    0    0   7.3960873e-10
4.8977882    0    0    0    0    0    0    0    0    8.5425257e-10    6.1628698e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    8.6041543e-10    0    0    0    0    0   8.5965757e-10
4.9545019    0    0    0    0    0    0    0    0    9.9658816e-10    5.0877472e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.0016759e-09    0    0    0    0    0   1.0008375e-09
5.0118723    0    0    0    0    0    0    0    0    1.1668042e-09    4.9197633e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.1717239e-09    0    0    0    0    0   1.1707928e-09
5.0699071    0    0    0    0    0    0    0    0    1.3710199e-09    4.9976705e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.3760175e-09    0    0    0    0    0   1.3749806e-09
5.1286138    0    0    0    0    0    0    0    0    1.6168264e-09    5.2462516e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.6220727e-09    0    0    0    0    0   1.6209155e-09
5.1880004    0    0    0    0    0    0    0    0    1.9136699e-09    5.6486255e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.9193185e-09    0    0    0    0    0   1.9180251e-09
5.2480746    0    0    0    0    0    0    0    0    2.2733402e-09    6.2076605e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.2795479e-09    0    0    0    0    0   2.2781006e-09
5.3088444    0    0    0    0    0    0    0    0    2.7105996e-09    6.9372945e-12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.7175368e-09    0    0    0    0    0   2.7159163e-09
